geneID	geneSymbol	geneName	Pathway
305468	Eif4enif1	eukaryotic translation initiation factor 4E nuclear import factor 1	NA
305470	Drg1	developmentally regulated GTP binding protein 1	NA
305471	Patz1	POZ (BTB) and AT hook containing zinc finger 1	NA
305472	Pik3ip1	phosphoinositide-3-kinase interacting protein 1	NA
305475	Osbp2	oxysterol binding protein 2	NA
305476	RGD1308775	similar to RIKEN cDNA 4921536K21	NA
305477	Dusp18	dual specificity phosphatase 18	NA
305478	Rnf215	ring finger protein 215	NA
305479	Sf3a1	splicing factor 3a, subunit 1	path:rno03040 Spliceosome
305482	Mtmr3	myotubularin related protein 3	path:rno00562 Inositol phosphate metabolism
305493	Urgcp	upregulator of cell proliferation	NA
305494	Aebp1	AE binding protein 1	NA
305497	Cobl	cordon-bleu WH2 repeat protein	NA
305502	Tmed4	transmembrane p24 trafficking protein 4	NA
305505	Ccm2	cerebral cavernous malformation 2	NA
305506	Eif6	eukaryotic translation initiation factor 6	path:rno03008 Ribosome biogenesis in eukaryotes
305540	Slc1a4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	NA
305544	Aftph	aftiphilin	NA
305549	Peli1	pellino E3 ubiquitin protein ligase 1	NA
305552	Wdpcp	WD repeat containing planar cell polarity effector	NA
305556	Ehbp1	EH domain binding protein 1	NA
305571	B3gnt2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	path:rno00533 Glycosaminoglycan biosynthesis - keratan sulfate
305579	RGD1305110	similar to KIAA1841 protein	NA
305581	Pex13	peroxisomal biogenesis factor 13	path:rno04146 Peroxisome
305586	Papolg	poly(A) polymerase gamma	path:rno03015 mRNA surveillance pathway
305589	Bcl11a	B-cell CLL/lymphoma 11A (zinc finger protein)	NA
305600	Fancl	Fanconi anemia, complementation group L	path:rno03460 Fanconi anemia pathway
305604	Efemp1	EGF-containing fibulin-like extracellular matrix protein 1	NA
305606	Mtif2	mitochondrial translational initiation factor 2	NA
305610	Eml6	echinoderm microtubule associated protein like 6	NA
305614	Sptbn1	spectrin, beta, non-erythrocytic 1	NA
305624	Pcgf3	polycomb group ring finger 3	path:rno04550 Signaling pathways regulating pluripotency of stem cells
305633	Antxr2	anthrax toxin receptor 2	path:rno04621 NOD-like receptor signaling pathway
305645	Dlg5	discs, large homolog 5 (Drosophila)	NA
305667	Saysd1	SAYSVFN motif domain containing 1	NA
305675	Synpo2l	synaptopodin 2-like	NA
305679	Vcl	vinculin	path:rno04510 Focal adhesion
305684	Samd8	sterile alpha motif domain containing 8	NA
305685	Comtd1	catechol-O-methyltransferase domain containing 1	NA
305687	Zfp503	zinc finger protein 503	NA
305714	Thoc7	THO complex 7	path:rno03013 RNA transport
305719	Fezf2	Fez family zinc finger 2	NA
305751	Nkiras1	NFKB inhibitor interacting Ras-like 1	NA
305792	Kctd6	potassium channel tetramerization domain containing 6	NA
305795	Abhd6	abhydrolase domain containing 6	path:rno04723 Retrograde endocannabinoid signaling
305816	Ddhd1	DDHD domain containing 1	NA
305827	Wdhd1	WD repeat and HMG-box DNA binding protein 1	NA
305830	Fbxo34	F-box protein 34	NA
305831	Atg14	autophagy related 14	path:rno04140 Autophagy - animal
305835	Peli2	pellino E3 ubiquitin protein ligase family member 2	NA
305837	Ttc5	tetratricopeptide repeat domain 5	NA
305842	Rnase6	ribonuclease, RNase A family, 6	NA
305843	Ang	angiogenin, ribonuclease, RNase A family, 5	NA
305845	Mettl17	methyltransferase like 17	NA
305846	Slc39a2	solute carrier family 39 (zinc transporter), member 2	NA
305848	Zfp219	zinc finger protein 219	NA
305851	Supt16h	suppressor of Ty 16 homolog (S. cerevisiae)	NA
305853	Rab2b	RAB2B, member RAS oncogene family	NA
305854	Sall2	spalt-like transcription factor 2	NA
305858	Otx2	orthodenticle homeobox 2	NA
305861	Ap5m1	adaptor-related protein complex 5, mu 1 subunit	NA
305865	Slc35f4	solute carrier family 35, member F4	NA
305880	Lrp10	low-density lipoprotein receptor-related protein 10	NA
305882	Haus4	HAUS augmin-like complex, subunit 4	NA
305884	Acin1	apoptotic chromatin condensation inducer 1	path:rno03013 RNA transport
305886	Slc22a17	solute carrier family 22, member 17	NA
305887	Ngdn	neuroguidin, EIF4E binding protein	NA
305888	Zfhx2	zinc finger homeobox 2	NA
305889	Thtpa	thiamine triphosphatase	path:rno00730 Thiamine metabolism
305895	Dcaf11	DDB1 and CUL4 associated factor 11	NA
305896	Irf9	interferon regulatory factor 9	path:rno04217 Necroptosis
305897	Nfatc4	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4	path:rno04022 cGMP-PKG signaling pathway
305909	Cenpj	centromere protein J	NA
305910	Pspc1	paraspeckle component 1	NA
305911	Zmym5	zinc finger, MYM-type 5	NA
305913	Zmym2	zinc finger, MYM-type 2	NA
305918	Ift88	intraflagellar transport 88	NA
305922	Lats2	large tumor suppressor kinase 2	path:rno04390 Hippo signaling pathway
305923	Zdhhc20	zinc finger, DHHC-type containing 20	NA
305935	Mtmr6	myotubularin related protein 6	path:rno00562 Inositol phosphate metabolism
305938	Spata13	spermatogenesis associated 13	path:rno04810 Regulation of actin cytoskeleton
305940	Sacs	sacsin molecular chaperone	NA
305941	Sgcg	sarcoglycan, gamma	path:rno05410 Hypertrophic cardiomyopathy (HCM)
305955	Zc3h13	zinc finger CCCH type containing 13	NA
305956	Wdfy2	WD repeat and FYVE domain containing 2	NA
305963	Pinx1	PIN2/TERF1 interacting, telomerase inhibitor 1	NA
305968	Hmbox1	homeobox containing 1	NA
305970	Fbxo16	F-box protein 16	NA
305972	Zfp395	zinc finger protein 395	NA
305974	Scara5	scavenger receptor class A, member 5	NA
305984	Cdca2	cell division cycle associated 2	NA
305987	Dock5	dedicator of cytokinesis 5	NA
305999	Nkx3-1	NK3 homeobox 1	path:rno05200 Pathways in cancer
306000	Slc25a37	solute carrier family 25 (mitochondrial iron transporter), member 37	NA
306004	Rhobtb2	Rho-related BTB domain containing 2	path:rno04120 Ubiquitin mediated proteolysis
306007	Ccar2	cell cycle and apoptosis regulator 2	NA
306009	Slc39a14	solute carrier family 39 (zinc transporter), member 14	path:rno04216 Ferroptosis
306011	Piwil2	piwi-like RNA-mediated gene silencing 2	NA
306012	Polr3d	polymerase (RNA) III (DNA directed) polypeptide D	path:rno00230 Purine metabolism
306013	Lgi3	leucine-rich repeat LGI family, member 3	NA
306014	Reep4	receptor accessory protein 4	NA
306015	Fam160b2	family with sequence similarity 160, member B2	NA
306022	Fndc3a	fibronectin type III domain containing 3a	NA
306030	Med4	mediator complex subunit 4	path:rno04919 Thyroid hormone signaling pathway
306055	Pcdh17	protocadherin 17	NA
306066	Tdrd3	tudor domain containing 3	NA
306071	Lcp1	lymphocyte cytosolic protein 1	NA
306073	Kbtbd6	kelch repeat and BTB (POZ) domain containing 6	NA
306081	Pcdh20	protocadherin 20	NA
306091	Pcdh9	protocadherin 9	NA
306096	Dach1	dachshund family transcription factor 1	NA
306110	Klf12	Kruppel-like factor 12	NA
306117	Tbc1d4	TBC1 domain family, member 4	path:rno04919 Thyroid hormone signaling pathway
306128	Cln5	ceroid-lipofuscinosis, neuronal 5	path:rno04142 Lysosome
306129	Fbxl3	F-box and leucine-rich repeat protein 3	path:rno04710 Circadian rhythm
306137	Rbm26	RNA binding motif protein 26	NA
306141	Spry2	sprouty RTK signaling antagonist 2	path:rno05206 MicroRNAs in cancer
306147	Slitrk1	SLIT and NTRK-like family, member 1	NA
306165	Gpr180	G protein-coupled receptor 180	NA
306168	Sox21	SRY (sex determining region Y)-box 21	NA
306182	Ipo5	importin 5	NA
306183	Farp1	FERM, RhoGEF (Arhgef) and pleckstrin domain protein 1 (chondrocyte-derived)	NA
306197	Tm9sf2	transmembrane 9 superfamily member 2	NA
306198	Clybl	citrate lyase beta like	NA
306203	Pxk	PX domain containing serine/threonine kinase	NA
306222	Lsm5	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated	path:rno03018 RNA degradation
306226	Duxbl1	double homeobox B-like 1	NA
306229	Dennd6a	DENN/MADD domain containing 6A	NA
306231	Pde12	phosphodiesterase 12	NA
306238	Ccdc66	coiled-coil domain containing 66	NA
306243	Cacna2d3	calcium channel, voltage-dependent, alpha2/delta subunit 3	path:rno04010 MAPK signaling pathway
306251	Itih1	inter-alpha trypsin inhibitor, heavy chain 1	NA
306252	Nek4	NIMA-related kinase 4	NA
306253	Glt8d1	glycosyltransferase 8 domain containing 1	NA
306254	Pbrm1	polybromo 1	path:rno05225 Hepatocellular carcinoma
306255	Nisch	nischarin	NA
306257	Bap1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	NA
306260	Capn7	calpain 7	NA
306261	Eaf1	ELL associated factor 1	NA
306262	Btd	biotinidase	path:rno00780 Biotin metabolism
306264	Ankrd28	ankyrin repeat domain 28	NA
306270	Oxnad1	oxidoreductase NAD-binding domain containing 1	NA
306274	Ercc6	excision repair cross-complementation group 6	path:rno03420 Nucleotide excision repair
306278	Lrrc18	leucine rich repeat containing 18	NA
306279	Arhgap22	Rho GTPase activating protein 22	NA
306283	Anxa8	annexin A8	NA
306285	Syt15	synaptotagmin XV	NA
306288	Mmrn2	multimerin 2	NA
306306	Ccser2	coiled-coil serine-rich protein 2	NA
306307	Rgr	retinal G protein coupled receptor	NA
306327	Tmem38a	transmembrane protein 38a	NA
306330	Klf2	Kruppel-like factor 2	path:rno04068 FoxO signaling pathway
306332	Ap1m1	adaptor-related protein complex 1, mu 1 subunit	path:rno04142 Lysosome
306338	Abhd8	abhydrolase domain containing 8	NA
306340	Ano8	anoctamin 8	NA
306342	Nxnl1	nucleoredoxin-like 1	NA
306344	Arrdc2	arrestin domain containing 2	NA
306347	Ell	elongation factor RNA polymerase II	NA
306348	RGD1566239	similar to RIKEN cDNA 2810428I15	NA
306349	Tmem59l	transmembrane protein 59-like	NA
306352	Armc6	armadillo repeat containing 6	NA
306353	Rfxank	regulatory factor X-associated ankyrin-containing protein	path:rno04612 Antigen processing and presentation
306356	Cilp2	cartilage intermediate layer protein 2	NA
306357	Gmip	Gem-interacting protein	NA
306375	Csgalnact1	chondroitin sulfate N-acetylgalactosaminyltransferase 1	path:rno00532 Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
306376	Sh2d4a	SH2 domain containing 4A	NA
306380	Psd3	pleckstrin and Sec7 domain containing 3	path:rno04144 Endocytosis
306400	Arhgap35	Rho GTPase activating protein 35	path:rno04510 Focal adhesion
306404	Spock3	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3	NA
306417	Sh3rf1	SH3 domain containing ring finger 1	NA
306424	Mfap3l	microfibrillar-associated protein 3-like	NA
306436	Fbxo8	F-box protein 8	NA
306439	Gpm6a	glycoprotein m6a	NA
306451	Tenm3	teneurin transmembrane protein 3	NA
306454	Cldn22	claudin 22	path:rno04514 Cell adhesion molecules (CAMs)
306455	Cdkn2aip	CDKN2A interacting protein	NA
306459	Stox2	storkhead box 2	NA
306460	Enpp6	ectonucleotide pyrophosphatase/phosphodiesterase 6	path:rno00565 Ether lipid metabolism
306464	Cenpu	centromere protein U	NA
306469	Cfap97	cilia and flagella associated protein 97	NA
306471	Snx25	sorting nexin 25	NA
306487	Mtus1	microtubule associated tumor suppressor 1	NA
306490	Mtmr7	myotubularin related protein 7	path:rno00562 Inositol phosphate metabolism
306492	Cnot7	CCR4-NOT transcription complex, subunit 7	path:rno03018 RNA degradation
306504	RGD1304810	similar to 6430573F11Rik protein	NA
306506	Pragmin	pragma of Rnd2	NA
306508	Mfhas1	malignant fibrous histiocytoma amplified sequence 1	NA
306516	Gtf2e2	general transcription factor IIE, polypeptide 2, beta	path:rno03022 Basal transcription factors
306526	Mak16	MAK16 homolog	NA
306527	Dusp26	dual specificity phosphatase 26 (putative)	NA
306540	Got1l1	glutamic-oxaloacetic transaminase 1-like 1	NA
306542	Brf2	BRF2, RNA polymerase III transcription initiation factor 50 subunit	NA
306544	Prosc	proline synthetase co-transcribed homolog (bacterial)	NA
306548	Hook3	hook microtubule-tethering protein 3	NA
306549	Pomk	protein-O-mannose kinase	path:rno00515 Mannose type O-glycan biosynthesis
306562	Tacc1	transforming, acidic coiled-coil containing protein 1	NA
306570	Ank1	ankyrin 1, erythrocytic	path:rno05205 Proteoglycans in cancer
306571	Kat6a	K(lysine) acetyltransferase 6A	path:rno04550 Signaling pathways regulating pluripotency of stem cells
306574	Slc25a15	"solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15"	NA
306575	Ckap2	cytoskeleton associated protein 2	NA
306576	Nek3	NIMA-related kinase 3	NA
306582	Agpat5	1-acylglycerol-3-phosphate O-acyltransferase 5	path:rno00561 Glycerolipid metabolism
306586	Amt	aminomethyltransferase	path:rno00260 Glycine, serine and threonine metabolism
306587	Tcta	T-cell leukemia translocation altered	NA
306589	Klhdc8b	kelch domain containing 8B	NA
306599	Tubgcp3	tubulin, gamma complex associated protein 3	NA
306600	Atp11a	ATPase, class VI, type 11A	NA
306607	Tmco3	transmembrane and coiled-coil domains 3	NA
306616	Myom2	myomesin 2	NA
306618	Arhgef10	Rho guanine nucleotide exchange factor (GEF) 10	NA
306619	Cln8	ceroid-lipofuscinosis, neuronal 8	NA
306626	Ing1	inhibitor of growth family, member 1	NA
306628	Col4a2	collagen, type IV, alpha 2	path:rno04151 PI3K-Akt signaling pathway
306630	Abhd13	abhydrolase domain containing 13	NA
306647	Champ1	chromosome alignment maintaining phosphoprotein 1	NA
306655	Irx4	iroquois homeobox 4	NA
306657	Irx2	iroquois homeobox 2	NA
306659	Irx1	iroquois homeobox 1	NA
306664	Adamts16	ADAM metallopeptidase with thrombospondin type 1 motif, 16	NA
306665	Ice1	interactor of little elongation complex ELL subunit 1	NA
306672	Papd7	PAP associated domain containing 7	path:rno03018 RNA degradation
306687	Hiatl1	hippocampus abundant transcript-like 1	NA
306695	Zfp367	zinc finger protein 367	NA
306720	Ctsm	cathepsin M	path:rno04142 Lysosome
306722	Dapk1	death associated protein kinase 1	path:rno04140 Autophagy - animal
306734	Rmi1	RecQ mediated genome instability 1	path:rno03460 Fanconi anemia pathway
306748	Cxcl14	chemokine (C-X-C motif) ligand 14	path:rno04060 Cytokine-cytokine receptor interaction
306759	Spock1	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1	NA
306760	Dok3	docking protein 3	NA
306761	F12	coagulation factor XII (Hageman factor)	path:rno04610 Complement and coagulation cascades
306764	Nsd1	nuclear receptor binding SET domain protein 1	path:rno00310 Lysine degradation
306765	Zfp346	zinc finger protein 346	NA
306766	LOC306766	hypothetical LOC306766	NA
306767	Arl10	ADP-ribosylation factor-like 10	NA
306768	Nop16	NOP16 nucleolar protein	NA
306771	Tspan17	tetraspanin 17	NA
306790	Sema4d	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	path:rno04360 Axon guidance
306792	S1pr3	sphingosine-1-phosphate receptor 3	path:rno04071 Sphingolipid signaling pathway
306804	Iars	isoleucyl-tRNA synthetase	path:rno00970 Aminoacyl-tRNA biosynthesis
306805	Aspn	asporin	NA
306809	Bicd2	bicaudal D homolog 2 (Drosophila)	NA
306810	Susd3	sushi domain containing 3	NA
306811	Wnk2	WNK lysine deficient protein kinase 2	NA
306814	Phf2	PHD finger protein 2	NA
306817	Dek	DEK proto-oncogene	NA
306819	Kdm1b	lysine (K)-specific demethylase 1B	NA
306825	Mylip	myosin regulatory light chain interacting protein	path:rno04979 Cholesterol metabolism
306840	Sirt5	sirtuin 5	NA
306844	Phactr1	phosphatase and actin regulator 1	NA
306860	Gcnt2	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme	path:rno00601 Glycosphingolipid biosynthesis - lacto and neolacto series
306862	Tfap2a	transcription factor AP-2 alpha	NA
306866	Slc35b3	solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B3	NA
306868	Bloc1s5	biogenesis of lysosomal organelles complex-1, subunit 5, muted	NA
306871	Dsp	desmoplakin	path:rno05412 Arrhythmogenic right ventricular cardiomyopathy (ARVC)
306872	Cage1	cancer antigen 1	NA
306873	Rreb1	ras responsive element binding protein 1	NA
306879	Fars2	phenylalanyl-tRNA synthetase 2, mitochondrial	path:rno00970 Aminoacyl-tRNA biosynthesis
306883	Fam50b	family with sequence similarity 50, member B	NA
306886	Ripk1	receptor (TNFRSF)-interacting serine-threonine kinase 1	path:rno04064 NF-kappa B signaling pathway
306929	Prl7a4	prolactin family 7, subfamily a, member 4	NA
306934	Fam65b	family with sequence similarity 65, member B	NA
306941	Lrrc16a	leucine rich repeat containing 16A	NA
306950	Slc17a2	solute carrier family 17, member 2	NA
306960	Abt1	activator of basal transcription 1	NA
306977	Zkscan3	zinc finger with KRAB and SCAN domains 3	NA
306991	Vps41	vacuolar protein sorting 41 homolog (S. cerevisiae)	NA
306998	Cdk13	cyclin-dependent kinase 13	NA
307008	RGD1308147	similar to expressed sequence AW209491	NA
307016	Arhgap12	Rho GTPase activating protein 12	NA
307024	Zfp438	zinc finger protein 438	NA
307029	Wac	WW domain containing adaptor with coiled-coil	NA
307035	Mpp7	membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)	NA
307039	Rab18	RAB18, member RAS oncogene family	NA
307050	Mtpap	mitochondrial poly(A) polymerase	NA
307067	Dip2c	disco-interacting protein 2 homolog C	NA
307070	Larp4b	La ribonucleoprotein domain family, member 4B	NA
307075	Wdr37	WD repeat domain 37	NA
307081	Pitrm1	pitrilysin metallopeptidase 1	NA
307091	Akr1e2	aldo-keto reductase family 1, member E2	NA
307092	Akr1c1	aldo-keto reductase family 1, member C1	path:rno00140 Steroid hormone biosynthesis
307096	Akr1c19	aldo-keto reductase family 1, member C19	NA
307098	Net1	neuroepithelial cell transforming 1	NA
307100	Calml3	calmodulin-like 3	path:rno04014 Ras signaling pathway
307102	Ankrd16	ankyrin repeat domain 16	NA
307106	Sfmbt2	Scm-like with four mbt domains 2	NA
307126	Mcm10	minichromosome maintenance 10 replication initiation factor	NA
307133	Hspa14	heat shock protein 14	NA
307148	Nsun6	NOP2/Sun domain family, member 6	NA
307170	Acbd5	acyl-CoA binding domain containing 5	NA
307171	Apbb1ip	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein	path:rno04015 Rap1 signaling pathway
307178	Arhgap21	Rho GTPase activating protein 21	NA
307180	Txndc15	thioredoxin domain containing 15	NA
307200	Socs6	suppressor of cytokine signaling 6	path:rno04630 Jak-STAT signaling pathway
307206	Neto1	neuropilin (NRP) and tolloid (TLL)-like 1	NA
307210	Timm21	translocase of inner mitochondrial membrane 21 homolog (yeast)	NA
307212	Cndp1	carnosine dipeptidase 1 (metallopeptidase M20 family)	path:rno00330 Arginine and proline metabolism
307213	Zfp407	zinc finger protein 407	NA
307217	Tshz1	teashirt zinc finger homeobox 1	NA
307234	Kcng2	potassium channel, voltage gated modifier subfamily G, member 2	NA
307235	Rbfa	ribosome binding factor A	NA
307236	Adnp2	ADNP homeobox 2	NA
307248	Pstpip2	proline-serine-threonine phosphatase-interacting protein 2	NA
307251	Rnf165	ring finger protein 165	NA
307270	Me2	malic enzyme 2, NAD(+)-dependent, mitochondrial	path:rno00620 Pyruvate metabolism
307271	Mex3c	mex-3 RNA binding family member C	NA
307288	Gramd3	GRAM domain containing 3	NA
307296	Zfp608	zinc finger protein 608	NA
307302	Cep120	centrosomal protein 120	NA
307309	Sncaip	synuclein, alpha interacting protein	path:rno05012 Parkinson's disease
307310	Zfp474	zinc finger protein 474	NA
307343	Fam210a	family with sequence similarity 210, member A	NA
307348	Spire1	spire-type actin nucleation factor 1	NA
307350	Afg3l2	AFG3-like AAA ATPase 2	NA
307351	Tubb6	tubulin, beta 6 class V	path:rno04145 Phagosome
307362	Zfp532	zinc finger protein 532	NA
307376	Onecut2	one cut homeobox 2	NA
307380	Piezo2	piezo-type mechanosensitive ion channel component 2	NA
307382	Napg	N-ethylmaleimide-sensitive factor attachment protein, gamma	NA
307390	Fbxo38	F-box protein 38	NA
307393	Sh3tc2	SH3 domain and tetratricopeptide repeats 2	NA
307395	Ablim3	actin binding LIM protein family, member 3	path:rno04360 Axon guidance
307398	Arhgef37	Rho guanine nucleotide exchange factor (GEF) 37	NA
307401	Pde6a	phosphodiesterase 6A, cGMP-specific, rod, alpha	path:rno00230 Purine metabolism
307403	Csf1r	colony stimulating factor 1 receptor	path:rno04010 MAPK signaling pathway
307404	Arsi	arylsulfatase family, member I	NA
307410	Rbm22	RNA binding motif protein 22	path:rno03040 Spliceosome
307428	Tnfaip8	tumor necrosis factor, alpha-induced protein 8	NA
307429	Dmxl1	Dmx-like 1	NA
307459	Arhgap26	Rho GTPase activating protein 26	NA
307474	Tcerg1	transcription elongation regulator 1	path:rno03040 Spliceosome
307479	Jakmip2	janus kinase and microtubule interacting protein 2	NA
307480	RGD735029	SEL1 domain containing protein RGD735029	NA
307482	Fchsd1	FCH and double SH3 domains 1	NA
307483	Diaph1	diaphanous-related formin 1	path:rno04510 Focal adhesion
307486	Pcdhb22	protocadherin beta 22	NA
307487	Pcdhb21	protocadherin beta 21	NA
307491	Hars2	histidyl-tRNA synthetase 2, mitochondrial	path:rno00970 Aminoacyl-tRNA biosynthesis
307492	Hars	histidyl-tRNA synthetase	path:rno00970 Aminoacyl-tRNA biosynthesis
307494	Wdr55	WD repeat domain 55	NA
307498	Pura	purine rich element binding protein A	NA
307503	Etf1	eukaryotic translation termination factor 1	path:rno03015 mRNA surveillance pathway
307505	Ctnna1	catenin (cadherin-associated protein), alpha 1, 102kDa	path:rno04390 Hippo signaling pathway
307514	Epb41l4a	erythrocyte membrane protein band 4.1 like 4A	NA
307524	Wdr33	WD repeat domain 33	path:rno03015 mRNA surveillance pathway
307526	Ammecr1l	AMME chromosomal region gene 1-like	NA
307527	Sap130	Sin3A associated protein	NA
307540	Celf4	CUGBP, Elav-like family member 4	NA
307545	Elp2	elongator acetyltransferase complex subunit 2	NA
307548	Dtna	dystrobrevin, alpha	NA
307553	Nol4	nucleolar protein 4	NA
307555	Asxl3	additional sex combs like transcriptional regulator 3	NA
307562	Dsg2	desmoglein 2	path:rno05412 Arrhythmogenic right ventricular cardiomyopathy (ARVC)
307579	Zfp521	zinc finger protein 521	NA
307582	Lama3	laminin, alpha 3	path:rno01100 Metabolic pathways
307585	Cables1	Cdk5 and Abl enzyme substrate 1	NA
307604	Elac1	elaC ribonuclease Z 1	path:rno03013 RNA transport
307614	Cdh16	cadherin 16	NA
307616	Cmtm2a	CKLF-like MARVEL transmembrane domain containing 2A	NA
307639	Gins3	GINS complex subunit 3 (Psf3 homolog)	NA
307641	Csnk2a2	casein kinase 2, alpha prime polypeptide	path:rno03008 Ribosome biogenesis in eukaryotes
307642	Cfap20	cilia and flagella associated protein 20	NA
307643	Usb1	U6 snRNA biogenesis 1	NA
307644	Kifc3	kinesin family member C3	NA
307645	Adgrg5	adhesion G protein-coupled receptor G5	NA
307649	Ciapin1	cytokine induced apoptosis inhibitor 1	NA
307652	Fam192a	family with sequence similarity 192, member A	NA
307657	Ogfod1	2-oxoglutarate and iron-dependent oxygenase domain containing 1	NA
307660	Ces5a	carboxylesterase 5A	NA
307667	Hmgxb4	HMG box domain containing 4	NA
307721	Irx3	iroquois homeobox 3	NA
307726	Chd9	chromodomain helicase DNA binding protein 9	NA
307740	Sall1	spalt-like transcription factor 1	NA
307745	Papd5	PAP associated domain containing 5	path:rno03018 RNA degradation
307757	Neto2	neuropilin (NRP) and tolloid (TLL)-like 2	NA
307759	Gpt2	glutamic pyruvate transaminase (alanine aminotransferase) 2	path:rno00220 Arginine biosynthesis
307764	Usp38	ubiquitin specific peptidase 38	NA
307766	Smarca5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	NA
307767	Frem3	FRAS1 related extracellular matrix 3	NA
307774	Otud4	OTU deubiquitinase 4	NA
307797	Rltpr	RGD motif, leucine rich repeats, tropomodulin domain and proline-rich containing	NA
307798	Acd	adrenocortical dysplasia homolog (mouse)	NA
307799	Pard6a	par-6 family cell polarity regulator alpha	path:rno04015 Rap1 signaling pathway
307801	Gfod2	glucose-fructose oxidoreductase domain containing 2	NA
307805	Cenpt	centromere protein T	NA
307806	Thap11	THAP domain containing 11	NA
307811	Slc7a6	solute carrier family 7 (amino acid transporter light chain, y+L system), member 6	NA
307816	Tango6	transport and golgi organization 6 homolog	NA
307820	Nfat5	nuclear factor of activated T-cells 5, tonicity-responsive	NA
307821	Psmd7	proteasome 26S subunit, non-ATPase 7	path:rno03050 Proteasome
307829	Zfhx3	zinc finger homeobox 3	path:rno04550 Signaling pathways regulating pluripotency of stem cells
307833	Ist1	increased sodium tolerance 1 homolog (yeast)	path:rno04144 Endocytosis
307834	Zfp821	zinc finger protein 821	NA
307838	Chst4	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4	path:rno00533 Glycosaminoglycan biosynthesis - keratan sulfate
307839	Zfp612	zinc finger protein 612	NA
307842	Vac14	Vac14 homolog (S. cerevisiae)	path:rno05166 HTLV-I infection
307845	Mtss1l	metastasis suppressor 1-like	NA
307848	Fuk	fucokinase	path:rno00051 Fructose and mannose metabolism
307852	Pdpr	pyruvate dehydrogenase phosphatase regulatory subunit	NA
307855	Fa2h	fatty acid 2-hydroxylase	NA
307858	Ldhd	lactate dehydrogenase D	path:rno00620 Pyruvate metabolism
307859	Chst5	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5	path:rno00533 Glycosaminoglycan biosynthesis - keratan sulfate
307861	Terf2ip	telomeric repeat binding factor 2, interacting protein	NA
307868	Mon1b	MON1 secretory trafficking family member B	NA
307897	Sdr42e1	short chain dehydrogenase/reductase family 42E, member 1	NA
307905	Usp10	ubiquitin specific peptidase 10	NA
307907	RGD1304884	similar to RIKEN cDNA 6430548M08	NA
307913	Gse1	Gse1 coiled-coil protein	NA
307916	Jph3	junctophilin 3	NA
307923	Vps9d1	VPS9 domain containing 1	NA
307924	Zfp276	zinc finger protein (C2H2 type) 276	NA
307925	Spire2	spire-type actin nucleation factor 2	NA
307926	Ccsap	centriole, cilia and spindle-associated protein	NA
307927	Taf5l	TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor	path:rno03022 Basal transcription factors
307947	Set	SET nuclear proto-oncogene	NA
307949	Pcnxl2	pecanex-like 2 (Drosophila)	NA
307956	Rbm34	RNA binding motif protein 34	NA
307970	Atxn1l	ataxin 1-like	NA
307973	Def8	differentially expressed in FDCP 8 homolog (mouse)	NA
307982	Nrap	nebulin-related anchoring protein	NA
307986	Nhlrc2	NHL repeat containing 2	NA
307989	Ablim1	actin-binding LIM protein 1	path:rno04360 Axon guidance
307992	Atrnl1	attractin like 1	NA
307997	Hspa12a	heat shock protein 12A	NA
308000	Pdzd8	PDZ domain containing 8	NA
308003	Rab11fip2	RAB11 family interacting protein 2 (class I)	path:rno04144 Endocytosis
308004	Fam204a	family with sequence similarity 204, member A	NA
308009	Fam45a	family with sequence similarity 45, member A	NA
308015	Clca1	chloride channel accessory 1	path:rno04924 Renin secretion
308016	Clca5	chloride channel calcium activated 5	path:rno04924 Renin secretion
308023	Ssx2ip	synovial sarcoma, X breakpoint 2 interacting protein	path:rno04520 Adherens junction
308051	Rnf146	ring finger protein 146	NA
308060	Ccdc127	coiled-coil domain containing 127	NA
308061	Pdcd6	programmed cell death 6	NA
308064	Cep72	centrosomal protein 72	NA
308067	Brd9	bromodomain containing 9	NA
308068	Nkd2	naked cuticle homolog 2 (Drosophila)	path:rno04310 Wnt signaling pathway
308069	Slc12a7	solute carrier family 12 (potassium/chloride transporter), member 7	path:rno04966 Collecting duct acid secretion
308097	Tagap	T-cell activation RhoGTPase activating protein	NA
